sub-001,sub-002,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-011,sub-012,sub-013,sub-014,sub-015
14,8,14,14,14,14,11,11,11,8,11,11,14,14,14
11,14,11,11,11,11,14,14,14,11,14,14,11,11,13
13,11,13,13,13,13,13,13,8,14,13,8,13,13,11
8,13,8,8,8,8,8,8,7,13,8,7,8,8,8
7,7,7,7,7,7,7,12,13,7,7,13,7,7,7
9,9,9,9,12,9,12,7,5,12,12,5,12,9,9
5,5,12,12,9,12,9,5,12,9,9,9,9,12,18
12,12,5,5,18,5,5,9,9,5,5,12,5,18,12
1,1,18,18,5,18,18,15,1,18,18,3,18,5,5
3,3,1,1,1,1,1,6,3,1,15,1,1,1,1
18,18,15,3,15,15,15,18,6,47,1,15,15,15,47
10,15,47,15,47,6,6,1,15,15,47,6,47,47,15
6,47,3,2,2,10,3,47,18,3,3,18,3,3,28
2,10,2,47,3,3,10,3,2,2,2,10,2,2,3
15,2,10,6,6,47,47,2,47,10,10,2,6,10,2
47,6,6,10,10,2,2,16,10,42,28,47,10,28,17
16,42,42,28,17,16,16,42,42,28,6,42,28,6,10
28,28,28,16,28,42,28,10,16,6,42,4,42,42,31
4,4,16,42,16,28,42,28,4,4,16,16,16,17,42
42,19,17,4,31,17,4,4,19,36,17,28,4,31,43
19,36,4,17,42,4,36,31,28,19,31,19,36,16,4
23,16,31,31,4,23,17,36,36,43,4,36,17,4,6
36,23,36,19,19,19,19,17,23,16,19,23,19,19,16
17,43,19,36,36,31,31,19,41,41,23,41,31,36,36
31,41,23,23,43,36,23,23,31,17,36,31,43,23,19
43,37,41,43,23,41,41,41,43,23,43,17,41,41,23
41,44,43,41,41,43,43,43,21,31,41,43,23,43,37
21,21,37,37,37,24,37,37,17,37,37,21,37,37,44
22,17,21,44,44,22,22,22,37,44,27,22,44,27,49
24,22,44,21,22,37,24,24,22,21,44,24,21,24,41
37,31,24,22,52,21,21,21,24,22,21,37,22,21,27
44,24,22,24,21,44,44,44,44,49,52,44,24,44,30
27,38,38,27,24,27,27,27,38,38,51,38,27,22,24
40,49,51,52,32,40,38,52,27,27,24,27,49,52,32
38,45,52,51,27,26,40,38,40,24,49,40,38,51,51
20,40,49,49,49,38,32,32,20,45,22,20,32,32,21
26,27,27,38,51,52,52,40,45,51,38,26,51,38,22
49,51,32,32,38,49,49,49,48,40,30,49,30,49,38
25,26,26,40,50,32,26,26,51,30,32,45,52,30,50
35,35,40,26,26,20,51,51,49,52,45,35,45,40,26
45,52,45,30,40,50,45,48,26,32,40,52,34,45,34
52,48,50,34,34,51,20,45,52,48,29,48,40,26,52
32,20,34,45,30,25,35,30,35,26,26,51,26,48,45
30,34,35,50,45,45,30,20,25,34,48,25,50,34,40
50,50,20,20,33,35,34,35,32,50,50,32,35,50,29
51,30,48,35,35,34,25,50,34,35,34,30,48,20,33
34,32,30,33,20,30,48,34,30,20,25,34,33,25,25
39,39,25,48,48,48,50,29,39,29,20,50,20,29,35
48,25,33,29,29,39,29,25,50,33,33,39,29,35,20
29,33,29,25,25,29,33,33,29,25,35,29,25,33,48
33,29,39,39,39,33,39,39,33,39,39,33,39,39,39
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
