sub-001,sub-002,sub-003,sub-004,sub-005,sub-006,sub-007,sub-008,sub-009,sub-010,sub-011,sub-012,sub-013,sub-014,sub-015
14,8,14,11,14,14,14,11,8,8,8,8,8,14,14
11,13,11,14,11,13,11,14,11,7,13,7,14,13,11
8,7,13,13,13,11,13,8,7,13,14,11,11,11,13
7,14,8,8,8,8,8,13,14,14,11,14,13,8,8
13,9,7,7,7,7,7,7,13,11,7,13,7,7,7
9,11,9,12,9,9,9,12,5,9,9,9,9,9,9
5,5,12,9,12,18,12,9,9,5,5,5,12,12,12
12,18,5,5,18,5,5,5,12,12,18,12,5,18,18
1,1,18,18,5,12,18,18,1,1,12,3,18,5,5
18,3,1,15,1,1,1,15,3,18,1,1,1,1,47
3,12,47,47,15,10,10,1,10,3,3,10,47,47,1
10,10,15,1,47,3,15,47,6,47,15,15,15,15,15
15,47,10,6,10,15,3,6,15,15,47,18,3,10,28
6,2,3,3,28,47,47,3,18,10,10,6,6,3,42
47,23,42,42,3,6,6,2,2,2,28,47,10,28,3
2,28,28,2,2,23,2,10,47,42,2,2,42,2,10
42,15,6,28,6,28,28,42,42,28,42,42,2,42,2
23,42,2,10,42,2,42,28,23,6,6,23,28,6,6
28,19,23,16,31,42,23,16,19,23,23,19,23,23,23
19,6,16,23,16,16,16,23,16,19,19,28,36,31,43
16,36,36,19,17,19,19,36,4,36,31,4,19,19,16
4,4,41,36,23,17,36,31,28,43,16,36,16,17,31
36,41,19,31,19,31,4,19,36,4,17,16,43,16,36
41,43,31,4,36,36,31,4,41,41,36,41,41,36,19
24,24,43,41,4,4,41,41,21,16,4,24,4,4,41
31,21,4,43,43,24,24,17,24,37,43,21,31,41,17
21,16,17,17,41,41,17,43,43,31,41,22,37,43,37
43,37,24,24,24,43,43,24,22,21,37,31,44,24,44
22,22,37,37,37,22,37,22,31,44,21,43,24,27,4
37,31,44,44,27,21,22,27,37,24,27,37,21,37,24
17,17,21,21,44,37,21,37,17,22,24,27,17,21,27
27,44,22,27,21,27,27,21,44,27,44,38,22,44,21
44,27,27,22,22,44,44,44,38,38,22,20,27,22,38
38,38,38,38,32,26,38,38,20,17,38,44,38,38,22
40,26,26,26,49,38,26,26,27,49,30,26,30,30,30
20,20,45,30,26,25,40,30,40,26,51,17,26,26,26
26,40,40,49,38,20,25,40,26,40,26,40,49,40,49
25,45,49,40,30,40,30,32,25,30,49,25,40,32,51
45,49,30,32,40,30,20,25,45,45,32,35,45,25,45
35,35,51,45,52,35,45,20,35,20,40,45,32,20,32
30,25,25,51,51,32,35,29,48,35,45,30,35,45,40
49,30,35,52,50,45,49,49,30,51,29,48,51,49,52
48,51,32,48,45,49,32,45,49,48,52,49,20,51,34
39,48,48,20,34,34,29,35,39,32,20,39,34,52,25
29,39,20,25,25,50,48,48,51,25,25,29,29,29,29
32,29,52,34,20,29,34,52,52,29,48,32,25,48,50
52,34,34,35,29,48,51,34,29,34,50,51,48,35,35
34,32,50,29,33,39,39,51,32,50,35,34,50,34,48
51,50,29,50,35,52,50,39,34,39,34,52,52,50,20
50,52,39,33,48,51,52,50,50,33,33,50,33,39,33
33,33,33,39,39,33,33,33,33,52,39,33,39,33,39
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
