TRIAL_LABEL	TRIGGER_TIME	START_TIME	END_TIME	DURATION
Trial: 1	369590.835	1391008	1396008	5000
Trial: 2	374599.058	1396044	1401016	4972
Trial: 3	379599.378	1401055	1406018	4963
Trial: 4	384607.798	1406055	1411026	4971
Trial: 5	389614.504	1411061	1416033	4972
Trial: 6	394614.881	1416087	1421033	4946
Trial: 7	399615.038	1421069	1426033	4964
Trial: 8	404623.195	1426069	1431043	4974
Trial: 9	409622.984	1431078	1436042	4964
Trial: 10	414632.045	1436077	1441051	4974
Trial: 11	419631.483	1441088	1446051	4963
Trial: 12	424639.278	1446088	1451059	4971
Trial: 13	429640.099	1451094	1456059	4965
Trial: 14	434647.078	1456093	1461066	4973
Trial: 15	439655.669	1461101	1466076	4975
Trial: 16	444655.782	1466112	1471076	4964
Trial: 17	449655.452	1471112	1476076	4964
Trial: 18	454662.884	1476112	1481084	4972
Trial: 19	459663.943	1481120	1486084	4964
Trial: 20	464671.739	1486120	1491092	4972
Trial: 21	469670.688	1491128	1496092	4964
Trial: 22	474678.765	1496127	1501100	4973
Trial: 23	479679.158	1501135	1506100	4965
Trial: 24	484688.265	1506137	1511110	4973
Trial: 25	489694.613	1511146	1516116	4970
Trial: 26	494695.575	1516152	1521117	4965
Trial: 27	499694.748	1521152	1526117	4965
Trial: 28	504702.748	1526151	1531126	4975
Trial: 29	509702.679	1531162	1536125	4963
Trial: 30	514711.234	1536160	1541133	4973
Trial: 31	519710.54	1541170	1546133	4963
Trial: 32	524719.999	1546170	1551142	4972
Trial: 33	529718.829	1551177	1556142	4965
Trial: 34	534728.466	1556178	1561152	4974
Trial: 35	539727.353	1561188	1566151	4963
Trial: 36	544735.948	1566188	1571159	4971
Trial: 37	549735.206	1571195	1576159	4964
Trial: 38	554742.957	1576194	1581166	4972
Trial: 39	559743.174	1581202	1586166	4964
Trial: 40	564750.552	1586202	1591175	4973
Trial: 41	569751.122	1591211	1596175	4964
Trial: 42	574759.491	1596210	1601184	4974
Trial: 43	579759.161	1601219	1606183	4964
Trial: 44	584767.134	1606219	1611191	4972
Trial: 45	589768.323	1611227	1616193	4966
Trial: 46	594776.163	1616230	1621200	4970
Trial: 47	599775.68	1621237	1626201	4964
Trial: 48	604783.249	1626239	1631209	4970
Trial: 49	609784.377	1631244	1636210	4966
Trial: 50	614792.855	1636245	1641218	4973
Trial: 51	619790.904	1641254	1646216	4962
Trial: 52	624798.639	1646251	1651225	4974
Trial: 53	629799.039	1651261	1656225	4964
Trial: 54	634806.768	1656260	1661233	4973
Trial: 55	639808.057	1661295	1666234	4939
Trial: 56	644815.806	1666269	1671242	4973
Trial: 57	649814.633	1671277	1676241	4964
Trial: 58	654824.165	1676278	1681251	4973
Trial: 59	659823.521	1681287	1686251	4964
Trial: 60	664831.695	1686286	1691259	4973
Trial: 61	669831.264	1691302	1696259	4957
Trial: 62	674838.844	1696293	1701266	4973
Trial: 63	679840.507	1701302	1706268	4966
Trial: 64	684846.659	1706303	1711275	4972
Trial: 65	689847.547	1711310	1716276	4966
Trial: 66	694847.461	1716313	1721276	4963
Trial: 67	699855.901	1721312	1726284	4972
Trial: 68	704863.963	1726318	1731292	4974
Trial: 69	709863.898	1731328	1736292	4964
Trial: 70	714870.937	1736327	1741299	4972
Trial: 71	719871.455	1741335	1746301	4966
Trial: 72	724880.409	1746335	1751310	4975
Trial: 73	729879.007	1751346	1756308	4962
Trial: 74	734888.562	1756342	1761318	4976
Trial: 75	739886.882	1761354	1766316	4962
Trial: 76	744886.839	1766353	1771316	4963
Trial: 77	749895.975	1771352	1776327	4975
Trial: 78	754903.153	1776362	1781333	4971
Trial: 79	759903.436	1781368	1786334	4966
Trial: 80	764912.487	1786370	1791343	4973
Trial: 81	769910.877	1791377	1796341	4964
Trial: 82	774919.455	1796376	1801350	4974
Trial: 83	779920.417	1801385	1806351	4966
Trial: 84	784928.23	1806388	1811359	4971
Trial: 85	789926.95	1811394	1816358	4964
Trial: 86	794928.538	1816394	1821360	4966
Trial: 87	799935.13	1821395	1826366	4971
Trial: 88	804942.862	1826401	1831374	4973
Trial: 89	809942.942	1831410	1836375	4965
Trial: 90	814952.143	1836411	1841384	4973
Trial: 91	819951.021	1841420	1846383	4963
Trial: 92	824958.915	1846420	1851391	4971
Trial: 93	829959.66	1851425	1856392	4967
Trial: 94	834968.026	1856427	1861400	4973
Trial: 95	839966.932	1861436	1866399	4963
Trial: 96	844975.398	1866436	1871409	4973
Trial: 97	849976.062	1871446	1876409	4963
Trial: 98	854984.013	1876444	1881417	4973
Trial: 99	859984.309	1881452	1886418	4966
Trial: 100	864991.982	1886454	1891425	4971
Trial: 101	869991.046	1891460	1896424	4964
Trial: 102	874999.58	1896460	1901433	4973
Trial: 103	879999.958	1901469	1906434	4965
Trial: 104	885008.382	1906469	1911443	4974
Trial: 105	890008.009	1911480	1916442	4962
Trial: 106	.	1916478	1921450	4972
