COUNTER	TRIGGER_TIME	image	fix_order	stimuli_order
1	369590.83500	1.png	1	1
2	374599.05800	2.png	1	1
3	379599.37800	25.png	2	1
4	384607.79800	84.png	2	1
5	389614.50400	34.png	2	1
6	394614.88100	38.png	2	1
7	399615.03800	77.png	2	1
8	404623.19500	68.png	2	1
9	409622.98400	10.png	2	1
10	414632.04500	40.png	2	1
11	419631.48300	18.png	2	1
12	424639.27800	85.png	2	1
13	429640.09900	42.png	2	1
14	434647.07800	86.png	2	1
15	439655.66900	88.png	2	1
16	444655.78200	50.png	2	1
17	449655.45200	41.png	2	1
18	454662.88400	23.png	2	1
19	459663.94300	30.png	2	1
20	464671.73900	24.png	2	1
21	469670.68800	60.png	2	1
22	474678.76500	7.png	2	1
23	479679.15800	3.png	2	1
24	484688.26500	98.png	2	1
25	489694.61300	69.png	2	1
26	494695.57500	72.png	2	1
27	499694.74800	15.png	2	1
28	504702.74800	97.png	2	1
29	509702.67900	28.png	2	1
30	514711.23400	52.png	2	1
31	519710.54000	11.png	2	1
32	524719.99900	71.png	2	1
33	529718.82900	6.png	2	1
34	534728.46600	81.png	2	1
35	539727.35300	80.png	2	1
36	544735.94800	78.png	2	1
37	549735.20600	53.png	2	1
38	554742.95700	21.png	2	1
39	559743.17400	12.png	2	1
40	564750.55200	37.png	2	1
41	569751.12200	43.png	2	1
42	574759.49100	19.png	2	1
43	579759.16100	57.png	2	1
44	584767.13400	20.png	2	1
45	589768.32300	82.png	2	1
46	594776.16300	22.png	2	1
47	599775.68000	63.png	2	1
48	604783.24900	55.png	2	1
49	609784.37700	5.png	2	1
50	614792.85500	9.png	2	1
51	619790.90400	39.png	2	1
52	624798.63900	56.png	2	1
53	629799.03900	29.png	2	1
54	634806.76800	73.png	2	1
55	639808.05700	70.png	2	1
56	644815.80600	13.png	2	1
57	649814.63300	44.png	2	1
58	654824.16500	58.png	2	1
59	659823.52100	49.png	2	1
60	664831.69500	47.png	2	1
61	669831.26400	8.png	2	1
62	674838.84400	27.png	2	1
63	679840.50700	35.png	2	1
64	684846.65900	59.png	2	1
65	689847.54700	94.png	2	1
66	694847.46100	26.png	2	1
67	699855.90100	62.png	2	1
68	704863.96300	51.png	2	1
69	709863.89800	91.png	2	1
70	714870.93700	89.png	2	1
71	719871.45500	90.png	2	1
72	724880.40900	79.png	2	1
73	729879.00700	74.png	2	1
74	734888.56200	45.png	2	1
75	739886.88200	16.png	2	1
76	744886.83900	67.png	2	1
77	749895.97500	36.png	2	1
78	754903.15300	93.png	2	1
79	759903.43600	92.png	2	1
80	764912.48700	14.png	2	1
81	769910.87700	54.png	2	1
82	774919.45500	87.png	2	1
83	779920.41700	32.png	2	1
84	784928.23000	61.png	2	1
85	789926.95000	46.png	2	1
86	794928.53800	76.png	2	1
87	799935.13000	96.png	2	1
88	804942.86200	33.png	2	1
89	809942.94200	48.png	2	1
90	814952.14300	65.png	2	1
91	819951.02100	31.png	2	1
92	824958.91500	64.png	2	1
93	829959.66000	4.png	2	1
94	834968.02600	75.png	2	1
95	839966.93200	66.png	2	1
96	844975.39800	17.png	2	1
97	849976.06200	83.png	2	1
98	854984.01300	95.png	2	1
99	859984.30900	100.png	3	1
100	864991.98200	99.png	3	1
101	869991.04600	100.png	3	1
102	874999.58000	100.png	3	1
103	879999.95800	99.png	3	1
104	885008.38200	100.png	3	1
105	890008.00900	99.png	3	1
105	890008.00900	99.png	3	1
