subject,nCh,roi2,roi4,roi6,roi8,n_at_95pct,n_at_99pct,compr_at_4
1,52,79.195995382522,92.6820615584749,97.2685680504337,98.8107446906059,5,9,13
2,52,83.5770241993909,94.5493327602281,97.9517985427323,98.9870573647089,5,9,13
3,52,86.2384896212116,95.6465789865809,98.2985849310052,99.1755934732451,4,8,13
4,52,87.394179082121,96.14335037126,98.4505789355378,99.2787099629147,4,8,13
5,52,87.0162411939704,96.1291089800098,98.5267736091847,99.2410961022138,4,7,13
6,52,80.7644446284061,93.6669506441911,97.4614380476297,98.6284884518215,5,10,13
7,52,81.0214611215938,93.3168086999651,97.377264641098,98.7401347384492,5,9,13
8,52,82.9672299103341,93.6032895616517,97.3164496282467,98.6214676293269,5,10,13
9,52,81.1306951395497,92.7861691972811,97.2648523851607,98.7445236015371,5,9,13
10,52,86.2954846278125,94.8221892657721,98.0850028911464,99.0504723477486,5,8,13
11,52,83.1265903619046,94.0434608709958,97.4642582514542,98.7175100661395,5,9,13
12,52,81.0643259677126,92.2817195056992,96.8971142830555,98.5332748081335,5,10,13
13,52,85.5564740004415,95.0804641996273,97.9660942266213,99.0169492011066,4,8,13
14,52,85.4092508093511,95.0971179670201,97.9076146465865,99.0221982615467,4,8,13
15,52,88.8567805484806,96.3304954804228,98.5509994735912,99.3464365843436,4,7,13
