subject,nv,compression,roi_energy_pct,grid_nrmse,grid_corr,grid_snr,grid_snr_ref,steva_nrmse,steva_corr,steva_snr,steva_snr_ref,snr_change_pct
1,8,6.5,98.8107446906059,0.01106592,0.999902854474206,4.648077,5.802953,0.01108152,0.999912887459805,9.563905,8.176201,-19.90152
2,8,6.5,98.9870573647089,0.008926706,0.999946804154553,5.765296,6.416754,0.007572412,0.999964089571173,13.86915,11.60839,-10.15245
3,8,6.5,99.1755934732451,0.006323095,0.999951439826939,5.352819,6.148346,0.008116097,0.999923448084652,9.591864,8.813684,-12.93888
4,8,6.5,99.2787099629147,0.006828376,0.999959043166004,4.521343,5.159742,0.01145942,0.999898710365381,8.946831,8.464186,-12.3727
5,8,6.5,99.2410961022138,0.008340895,0.999944815911309,3.731808,4.316689,0.9543031,0.219901282368087,6.480875,0.4003956,-13.54932
6,8,6.5,98.6284884518215,0.01107217,0.99989096060665,4.481523,4.952926,0.02631422,0.999393457402573,7.539036,6.50043,-9.517658
7,8,6.5,98.7401347384492,0.009313027,0.999919465343668,4.93343,5.798054,0.01814274,0.999713700670214,11.1743,10.82442,-14.91231
8,8,6.5,98.6214676293269,0.009965935,0.999911312081584,4.159465,5.403737,0.01786471,0.999742811564521,8.320049,8.373133,-23.02614
9,8,6.5,98.7445236015371,0.009110078,0.999924459932629,5.546319,6.665251,0.03256239,0.999062224503423,11.86818,11.40788,-16.78754
10,8,6.5,99.0504723477486,0.005870224,0.999961686164818,7.819287,8.090893,0.0304013,0.999159987398277,26.5615,25.4861,-3.356934
11,8,6.5,98.7175100661395,0.008198483,0.999943561181139,6.796324,8.685062,0.03036424,0.999292957918702,15.84922,14.58388,-21.74697
12,8,6.5,98.5332748081335,0.01227775,0.999846359699083,5.332763,6.077775,0.02990407,0.999174994945535,11.19043,9.891749,-12.25798
13,8,6.5,99.0169492011066,0.006948897,0.999963625505495,6.313984,6.612809,0.04170229,0.998841083824444,13.53429,11.38237,-4.518885
14,8,6.5,99.0221982615467,0.007303473,0.999951929769719,5.18942,5.948255,0.0362352,0.998862231448877,10.19047,9.762207,-12.75726
15,8,6.5,99.3464365843436,0.006504664,0.99996407188475,6.665405,6.843552,0.02708006,0.999424689782283,12.2978,11.72546,-2.603126
