subject,snr_52ch,snr_nv4,snr_nv6,snr_nv8
1,5.802953,3.612727,4.156797,4.648077
2,6.416754,5.280046,5.363853,5.765296
3,6.148346,4.316262,4.716305,5.352819
4,5.159742,3.515242,3.856626,4.521343
5,4.316689,2.864545,3.296414,3.731808
6,4.952926,3.767902,4.078124,4.481523
7,5.798054,4.136599,4.536263,4.93343
8,5.403737,2.775662,3.533063,4.159465
9,6.665251,4.536955,5.166291,5.546319
10,8.090893,7.195693,7.570504,7.819287
11,8.685062,5.357815,6.165952,6.796324
12,6.077775,4.709334,5.16111,5.332763
13,6.612809,5.662313,5.900072,6.313984
14,5.948255,4.339757,4.892149,5.18942
15,6.843552,6.042607,6.208108,6.665405
